country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,TIV_ArmsFromRussia_2000_2019,TIV_ArmsFromRussia_2015_2019
Algeria,245,380,99,145,237,92,202,506,1510,1015,690,981,652,305,313,549,1588,855,1140,,11503,4132
Egypt,,,60,60,60,135,60,75,,8,367,416,68,27,110,6,178,1111,813,763,4315,2871
Libya,,,,,,1,13,13,13,,15,,,36,,,,,,,90,0
Morocco,,6,,,,69,27,27,27,,,,,,,,,,,,156,0
Sudan,,91,31,86,277,92,22,20,22,36,69,73,46,,,51,51,24,0,,989,126
Djibouti,,,3,,,,,,,,,,,,,,,,,,3,0
Eritrea,,57,,,70,3,,,,,,,,,,,,,,,130,0
Ethiopia,88,,,174,230,,,,,,54,,,,,,,,,69,615,69
Kenya,,,,,,,,,,,20,,,,,,,,,,20,0
Mozambique,,,,,,,,,,,,,,,,,,,,7,7,7
Rwanda,14,,,,,,,,,,,,,,14,27,,,,,54,27
South Sudan,,,,,,,,,,,,61,,,,18,4,,,,82,22
Uganda,,,,,18,,,,,14,,442,154,20,,,,,,,647,0
Angola,56,76,18,,,,,,,,,,,,,27,98,63,188,125,652,501
Cameroon,,,,,,,,,,,,,,7,27,,11,,,,45,11
Chad,,,,,,,14,,,,7,,,,,,,,,,20,0
Congo,,,,,,,,,,,,,,7,7,,,,,,14,0
Equatorial Guinea,,,,,,,7,,,,,,,,,,,,7,,14,7
Zambia,,,,,,,,,,,,,,,,14,,,,,14,14
South Africa,,,,,,,,,,,,,,,50,,,,,,50,0
Burkina Faso,,,,,,12,,,,,,,2,,,,,,14,,27,14
Ghana,,,,,27,,,,,,,,,41,,,,,,,68,0
Guinea,,,,,,,,,,,,1,,,,,,,,,1,0
Mali,,,,,,,,,,,,,,,,,,23,,,23,23
Niger,,,,,,,,,7,,,,,,,,,,,,7,0
Nigeria,36,1,2,27,,,,,,,,,,,58,87,,24,24,24,281,159
Senegal,,,,,,14,,18,,,,,,,,,,,,,32,0
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,0,,0,0
